,RPS,흡입 구조,Case Bracket 높이,Real - 1,12.5
0,34,0,10,0,0
1,36,0,10,0,-1
2,38,0,10,0,-1
3,40,0,10,0,-2
4,42,0,10,0,-2
5,44,0,10,0,-2
6,46,0,10,0,-4
7,48,0,10,0,-1
8,50,0,10,0,-2
9,52,0,10,0,-3
10,54,0,10,0,-3
11,56,0,10,0,-4
12,58,0,10,0,-3
13,60,0,10,0,-3
14,62,0,10,0,-2
15,64,0,10,0,-2
16,66,0,10,0,-2
17,68,0,10,0,-2
18,70,0,10,0,-3
19,72,0,10,0,-3
20,74,0,10,0,-2
21,76,0,10,0,-3
22,78,0,10,0,-1
23,80,0,10,0,-3
24,82,0,10,0,-5
25,84,0,10,0,-2
26,86,0,10,0,-1
27,88,0,10,0,-3
28,90,0,10,0,-3
29,92,0,10,0,-2
30,94,0,10,0,-3
31,34,0,10,1,-3
32,36,0,10,1,0
33,38,0,10,1,0
34,40,0,10,1,-3
35,42,0,10,1,-2
36,44,0,10,1,-4
37,46,0,10,1,-2
38,48,0,10,1,-2
39,50,0,10,1,-2
40,52,0,10,1,-4
41,54,0,10,1,-1
42,56,0,10,1,-3
43,58,0,10,1,-1
44,60,0,10,1,-2
45,62,0,10,1,-1
46,64,0,10,1,-3
47,66,0,10,1,-2
48,68,0,10,1,-3
49,70,0,10,1,-2
50,72,0,10,1,-5
51,74,0,10,1,-2
52,76,0,10,1,-2
53,78,0,10,1,-2
54,80,0,10,1,-2
55,82,0,10,1,-2
56,84,0,10,1,0
57,86,0,10,1,-1
58,88,0,10,1,-3
59,90,0,10,1,-2
60,92,0,10,1,-2
61,94,0,10,1,-2
62,34,1,25,2,-6
63,36,1,25,2,-5
64,38,1,25,2,-6
65,40,1,25,2,-6
66,42,1,25,2,-6
67,44,1,25,2,-5
68,46,1,25,2,-5
69,48,1,25,2,-6
70,50,1,25,2,-5
71,52,1,25,2,-8
72,54,1,25,2,-7
73,56,1,25,2,-5
74,58,1,25,2,-4
75,60,1,25,2,-5
76,62,1,25,2,-5
77,64,1,25,2,-6
78,66,1,25,2,-7
79,68,1,25,2,-5
80,70,1,25,2,-5
81,72,1,25,2,-5
82,74,1,25,2,-6
83,76,1,25,2,-3
84,78,1,25,2,-6
85,80,1,25,2,-7
86,82,1,25,2,-6
87,84,1,25,2,-4
88,86,1,25,2,-7
89,88,1,25,2,-7
90,90,1,25,2,-6
91,92,1,25,2,-6
92,94,1,25,2,-7
93,34,2,15,3,-7
94,36,2,15,3,-5
95,38,2,15,3,-4
96,40,2,15,3,-5
97,42,2,15,3,-6
98,44,2,15,3,-6
99,46,2,15,3,-5
100,48,2,15,3,-5
101,50,2,15,3,-5
102,52,2,15,3,-6
103,54,2,15,3,-6
104,56,2,15,3,-5
105,58,2,15,3,-5
106,60,2,15,3,-5
107,62,2,15,3,-5
108,64,2,15,3,-4
109,66,2,15,3,-6
110,68,2,15,3,-7
111,70,2,15,3,-7
112,72,2,15,3,-7
113,74,2,15,3,-7
114,76,2,15,3,-6
115,78,2,15,3,-5
116,80,2,15,3,-8
117,82,2,15,3,-6
118,84,2,15,3,-6
119,86,2,15,3,-7
120,88,2,15,3,-4
121,90,2,15,3,-5
122,92,2,15,3,-3
123,94,2,15,3,-4
124,34,1,21,4,-2
125,36,1,21,4,-3
126,38,1,21,4,-2
127,40,1,21,4,-3
128,42,1,21,4,0
129,44,1,21,4,-3
130,46,1,21,4,-3
131,48,1,21,4,-4
132,50,1,21,4,-3
133,52,1,21,4,-6
134,54,1,21,4,-3
135,56,1,21,4,-4
136,58,1,21,4,-5
137,60,1,21,4,-6
138,62,1,21,4,-5
139,64,1,21,4,-6
140,66,1,21,4,-4
141,68,1,21,4,-3
142,70,1,21,4,-4
143,72,1,21,4,-4
144,74,1,21,4,-3
145,76,1,21,4,-6
146,78,1,21,4,-3
147,80,1,21,4,-5
148,82,1,21,4,-4
149,84,1,21,4,-5
150,86,1,21,4,-4
151,88,1,21,4,-4
152,90,1,21,4,-5
153,92,1,21,4,-5
154,94,1,21,4,-4
155,34,0,10,5,-2
156,36,0,10,5,-4
157,38,0,10,5,-2
158,40,0,10,5,-1
159,42,0,10,5,-3
160,44,0,10,5,-2
161,46,0,10,5,-3
162,48,0,10,5,-1
163,50,0,10,5,-2
164,52,0,10,5,-1
165,54,0,10,5,-1
166,56,0,10,5,-2
167,58,0,10,5,-3
